epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9162.2,0.39183,3.20099,1.01232,0.04299,1,0.99114,0.93472,0.27846,3.74447,0.88229,0.000274475,0.000274475,0.000274475
2,16697.8,0.33365,1.87784,0.96423,0.068,1,0.98201,0.90753,0.33598,4.24798,0.93822,0.00049748,0.00049748,0.00049748
3,24591.6,0.34856,1.58597,0.9586,0.96576,0.69365,0.95886,0.8135,0.49192,3.68457,1.06061,0.000665506,0.000665506,0.000665506
4,33079.9,0.3323,1.35729,0.95963,0.97381,0.30478,0.97032,0.85738,0.38407,3.16283,0.99915,0.000585599,0.000585599,0.000585599
5,41285.2,0.30267,1.12195,0.92755,1,0.78051,0.995,0.93244,0.36705,2.55693,0.97525,0.000503132,0.000503132,0.000503132
6,50238.8,0.28561,1.02814,0.92246,0.96599,0.7623,0.9654,0.91865,0.27894,3.23341,0.87996,0.000420665,0.000420665,0.000420665
7,58463.1,0.27201,0.89349,0.90928,1,0.83718,0.99394,0.9353,0.36251,2.69983,0.93686,0.000338198,0.000338198,0.000338198
8,75136.2,0.24936,0.76847,0.90232,1,0.74222,0.98329,0.93155,0.33427,2.33767,0.94339,0.000255731,0.000255731,0.000255731
9,83453.8,0.22393,0.68446,0.88053,1,0.81928,0.99296,0.96505,0.26922,2.03962,0.8623,0.000173264,0.000173264,0.000173264
10,92273,0.2093,0.61421,0.87074,0.97603,0.66747,0.97541,0.93993,0.30568,2.78135,0.88663,9.0797e-05,9.0797e-05,9.0797e-05
